user_id,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,primary_track
u001,A,A,D,B,A,B,B,A,B,A,D,B,B,C,C,D,A,C,C,C,business
u002,A,A,D,D,D,C,C,A,A,B,C,C,A,A,A,D,B,B,A,D,data
u003,D,A,A,A,D,A,C,C,C,B,C,B,D,C,C,B,B,A,D,A,business
u004,C,B,C,B,A,A,B,B,A,A,A,A,D,C,D,C,D,D,A,C,design
u005,C,B,B,A,B,C,C,A,C,D,D,D,B,C,A,D,A,C,C,C,data
u006,D,D,B,B,A,C,D,C,D,B,A,D,B,C,C,B,B,D,B,C,design
u007,B,C,A,D,A,D,A,C,C,B,A,C,D,B,A,B,B,C,A,B,social
u008,C,B,D,D,A,D,B,B,B,A,D,A,D,A,A,A,B,C,B,C,design
u009,A,D,A,C,C,B,B,C,A,C,D,D,D,B,D,A,C,C,B,B,design
u010,A,B,D,B,C,C,B,A,D,B,C,A,B,B,D,B,D,A,C,C,business
u011,D,D,A,A,B,D,B,A,D,C,C,D,A,A,A,C,B,D,C,D,design
u012,A,D,D,A,A,B,C,A,A,D,B,D,C,A,C,C,A,A,B,B,social
u013,C,D,A,C,D,C,D,B,C,A,C,C,C,B,B,B,B,B,A,A,tech
u014,C,A,A,B,A,B,C,B,A,C,C,D,D,D,A,B,A,A,B,D,business
u015,A,C,B,B,B,D,B,C,D,C,B,A,A,C,D,B,B,B,A,C,tech
u016,D,B,A,B,B,A,C,D,D,C,A,D,C,D,D,C,B,D,D,C,design
u017,D,B,B,A,D,B,C,D,B,A,D,C,D,D,B,A,B,A,A,C,data
u018,C,A,A,D,A,D,B,B,D,B,C,B,A,A,D,B,A,B,A,B,social
u019,A,A,D,D,C,A,B,D,D,B,B,D,D,A,D,D,C,C,D,A,business
u020,D,A,A,D,D,D,A,C,C,A,D,B,B,D,D,C,B,B,A,A,social
u021,A,C,B,D,C,B,B,C,C,D,B,A,D,D,C,A,A,A,C,A,design
u022,C,C,D,B,C,C,D,A,A,A,C,A,A,B,C,B,A,B,C,B,business
